,contestId,index,rating,tags
2148,1609,A,900,"['greedy', 'implementation', 'math', 'number theory']"
2149,1609,B,1100,"['implementation', 'strings']"
2160,264,A,1200,"['constructive algorithms', 'data structures', 'implementation', 'two pointers']"
2168,1614,B,1000,"['constructive algorithms', 'sortings']"
2169,1614,A,800,"['brute force', 'constructive algorithms', 'greedy']"
2171,1611,C,1000,['constructive algorithms']
2172,1611,F,1800,"['binary search', 'data structures', 'two pointers']"
2173,1611,B,800,"['binary search', 'constructive algorithms', 'math']"
2174,1611,A,800,"['constructive algorithms', 'math']"
2175,118,B,1000,"['constructive algorithms', 'implementation']"
2179,285,A,1100,"['greedy', 'implementation']"
2180,118,A,1000,"['implementation', 'strings']"
2182,160,A,900,"['greedy', 'sortings']"
2183,501,A,900,['implementation']
2184,58,A,1000,"['greedy', 'strings']"
2185,270,A,1100,"['geometry', 'implementation', 'math']"
2186,61,A,800,['implementation']
2187,116,A,800,['implementation']
2188,112,A,800,"['implementation', 'strings']"
2189,110,A,800,['implementation']
2190,136,A,800,['implementation']
2191,1610,C,1600,"['binary search', 'greedy']"
2193,1610,B,1100,"['greedy', 'two pointers']"
2205,1610,A,900,['math']
2208,337,B,1400,"['greedy', 'math', 'number theory']"
2211,320,B,1500,"['dfs and similar', 'graphs']"
2218,485,A,1400,"['implementation', 'math', 'matrices']"
2219,224,B,1500,"['bitmasks', 'implementation', 'two pointers']"
2226,486,C,1700,"['brute force', 'greedy', 'implementation']"
2231,276,C,1500,"['data structures', 'greedy', 'implementation', 'sortings']"
2233,235,A,1600,['number theory']
2245,363,C,1400,"['greedy', 'implementation']"
2249,492,C,1400,"['greedy', 'sortings']"
2254,1602,B,1100,"['constructive algorithms', 'implementation']"
2265,1602,A,800,['implementation']
2266,322,B,1600,"['combinatorics', 'math']"
2269,166,C,1500,"['greedy', 'math', 'sortings']"
2278,372,A,1600,"['binary search', 'greedy', 'sortings', 'two pointers']"
2294,189,A,1300,"['brute force', 'dp']"
2297,327,A,1200,"['brute force', 'dp', 'implementation']"
2303,230,B,1300,"['binary search', 'implementation', 'math', 'number theory']"
2305,363,B,1100,"['brute force', 'dp']"
2311,313,B,1100,"['dp', 'implementation']"
2312,327,B,1200,['math']
2315,353,A,1200,"['implementation', 'math']"
2317,237,A,1000,['implementation']
2318,368,B,1100,"['data structures', 'dp']"
2319,251,A,1300,"['binary search', 'combinatorics', 'two pointers']"
2320,109,A,1000,"['brute force', 'implementation']"
2325,222,B,1300,"['data structures', 'implementation']"
2328,276,B,1300,"['games', 'greedy']"
2330,1586,A,800,"['brute force', 'constructive algorithms', 'greedy', 'math', 'number theory']"
2335,166,A,1100,"['binary search', 'implementation', 'sortings']"
2336,349,A,1100,"['greedy', 'implementation']"
2343,285,C,1200,"['greedy', 'implementation', 'sortings']"
2345,459,B,1300,"['combinatorics', 'implementation', 'sortings']"
2352,242,B,1100,"['implementation', 'sortings']"
2354,239,A,1200,"['greedy', 'implementation', 'math']"
2357,257,B,1300,"['games', 'greedy', 'implementation']"
2359,337,A,900,['greedy']
2362,230,A,1000,"['greedy', 'sortings']"
2364,219,A,1000,"['implementation', 'strings']"
2366,1593,B,900,"['dfs and similar', 'dp', 'greedy', 'math', 'math']"
2370,1593,A,800,['math']
2371,1592,B,1200,"['constructive algorithms', 'dsu', 'math', 'sortings']"
2378,1592,A,800,"['binary search', 'greedy', 'math', 'sortings']"
2391,1573,B,1400,"['greedy', 'math', 'sortings']"
2393,1108,A,800,['implementation']
2394,1579,E2,1700,"['data structures', 'greedy']"
2395,1579,E1,1000,"['constructive algorithms', 'greedy', 'math']"
2396,1579,A,800,"['math', 'strings']"
2397,452,A,1000,"['brute force', 'implementation', 'strings']"
2404,1472,D,1200,"['dp', 'games', 'greedy', 'sortings']"
2408,1551,B1,800,"['greedy', 'strings']"
2416,1574,C,1300,"['binary search', 'greedy', 'sortings', 'ternary search']"
2420,1574,B,1100,"['combinatorics', 'greedy', 'math']"
2429,1574,A,800,['constructive algorithms']
2431,1573,A,800,['greedy']
2432,1566,C,1000,"['bitmasks', 'constructive algorithms', 'dp', 'greedy']"
2433,1566,D1,1100,"['data structures', 'greedy', 'sortings']"
2434,1566,B,800,"['bitmasks', 'constructive algorithms', 'dp', 'greedy']"
2435,1566,A,800,"['binary search', 'greedy', 'math']"
2436,1569,B,1000,['constructive algorithms']
2437,1569,A,800,['implementation']
2438,1567,B,1000,"['bitmasks', 'greedy']"
2446,1567,A,800,"['implementation', 'strings']"
2447,1556,B,1300,['implementation']
2450,1556,A,800,['math']
2451,1562,B,1000,"['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']"
2452,1562,A,800,"['greedy', 'math']"
2454,1561,C,1300,"['binary search', 'greedy', 'sortings']"
2455,1561,A,800,"['brute force', 'implementation', 'sortings']"
2458,1560,C,800,"['implementation', 'math']"
2459,1560,B,800,['math']
2464,1560,A,800,['implementation']
2465,1559,B,900,"['dp', 'greedy']"
2468,1559,A,900,"['bitmasks', 'constructive algorithms', 'math']"
2469,1557,A,800,"['brute force', 'math', 'sortings']"
2475,1557,D,2200,"['data structures', 'dp', 'greedy']"
2479,1557,B,1100,"['greedy', 'sortings']"
2487,1552,A,800,"['sortings', 'strings']"
2490,1551,A,800,"['greedy', 'math']"
2491,630,H,1400,"['combinatorics', 'math']"
2494,1476,A,1000,"['binary search', 'constructive algorithms', 'greedy', 'math']"
2495,4,C,1300,"['data structures', 'hashing', 'implementation']"
